timestamp,grupo,vector_ataque,resultado_firma,resultado_sbom,resultado_slsa,resultado_global,tiempo_total_ms,tiempo_total_s,imagen
2026-05-22T17:15:39Z,G2,dependencia_sustit,DETECTADO,DETECTADO,NO_DETECTADO,DETECTADO,8215,8.2,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:15:47Z,G2,dependencia_sustit,DETECTADO,DETECTADO,NO_DETECTADO,DETECTADO,7922,7.9,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:15:55Z,G2,dependencia_sustit,DETECTADO,DETECTADO,NO_DETECTADO,DETECTADO,8245,8.2,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:16:04Z,G2,dependencia_sustit,DETECTADO,DETECTADO,NO_DETECTADO,DETECTADO,8007,8.0,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:16:12Z,G2,dependencia_sustit,DETECTADO,DETECTADO,NO_DETECTADO,DETECTADO,7971,7.9,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:16:20Z,G2,dependencia_sustit,DETECTADO,DETECTADO,NO_DETECTADO,DETECTADO,7534,7.5,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:16:27Z,G2,dependencia_sustit,DETECTADO,DETECTADO,NO_DETECTADO,DETECTADO,8440,8.4,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:16:36Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12090,12.0,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:16:48Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,11803,11.8,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:16:59Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12893,12.8,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:17:12Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,13699,13.6,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:17:26Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,11944,11.9,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:17:38Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,11235,11.2,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:17:49Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12131,12.1,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:18:01Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12059,12.0,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:18:13Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,11774,11.7,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:18:25Z,G3,digest_alterado,DETECTADO,DETECTADO,DETECTADO,DETECTADO,11954,11.9,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:18:37Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6724,6.7,alpine:latest
2026-05-22T17:18:44Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6165,6.1,alpine:latest
2026-05-22T17:18:50Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6078,6.0,alpine:latest
2026-05-22T17:18:56Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6506,6.5,alpine:latest
2026-05-22T17:19:03Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6174,6.1,alpine:latest
2026-05-22T17:19:09Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6249,6.2,alpine:latest
2026-05-22T17:19:15Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6107,6.1,alpine:latest
2026-05-22T17:19:21Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6166,6.1,alpine:latest
2026-05-22T17:19:28Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6187,6.1,alpine:latest
2026-05-22T17:19:34Z,G3,imagen_inyectada,DETECTADO,NO_DETECTADO,NO_DETECTADO,DETECTADO,6083,6.0,alpine:latest
2026-05-22T17:19:40Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12978,12.9,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:19:53Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12568,12.5,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:20:05Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,17451,17.4,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:20:23Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12400,12.4,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:20:35Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,13564,13.5,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:20:49Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12452,12.4,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:21:01Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12293,12.2,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:21:14Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12104,12.1,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:21:26Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,12012,12.0,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
2026-05-22T17:21:38Z,G3,dependencia_sustit,DETECTADO,DETECTADO,DETECTADO,DETECTADO,11958,11.9,ghcr.io/miglovi/sigstore-slsa-devsecops:latest
